country,count
-,6
Argentina,355
Australia,368
Austria,3
Azerbaijan,355
Bahrain,10
Belgium,372
Brazil,2509
Bulgaria,364
Canada,34
China,53003
Colombia,10
Croatia,5
Czechia,325
Denmark,365
Dominican Republic,368
France,45
Germany,2194
Greece,5
Hong Kong,743
India,934
Indonesia,149
Iran (Islamic Republic of),13
Israel,4
Italy,757
Japan,7
Kenya,117
Korea (Republic of),74
Kuwait,10
Latvia,355
Lithuania,2018
Luxembourg,6
Malaysia,2
Mexico,333
Netherlands,1785
Norway,10
Paraguay,355
Poland,143
Portugal,20
Reunion,10
Romania,365
Russian Federation,2571
Seychelles,108
Singapore,370
Slovakia,2
Slovenia,10
South Africa,10
Spain,390
Sweden,4950
Switzerland,355
Thailand,13
Ukraine,10
United Kingdom of Great Britain and Northern Ireland,40
United States of America,174085
Uzbekistan,5
Venezuela (Bolivarian Republic of),366
Viet Nam,7254
Virgin Islands (U.S.),10
Zambia,159
